Ensembl_ID	Preferred_name	Ensembl_HGNC	Ensembl_gene	Ensembl_UniProt_AC
9606.ENSP00000362146	CDCA8	{'CDCA8'}	{'ENSG00000134690'}	{'Q9NVW5', 'Q53HL2', 'Q53HN1', 'D3DPT4', 'Q96AM3'}
9606.ENSP00000362151	FOXP4	{'FOXP4'}	{'ENSG00000137166'}	{'Q8IW55', 'Q8IVH2', 'Q96E19', 'Q5W098', 'Q7Z7F8'}
9606.ENSP00000362153	GNL2	{'GNL2'}	{'ENSG00000134697'}	{'Q9BWN7', 'Q13823'}
9606.ENSP00000362159	SLC25A25	{'SLC25A25'}	{'ENSG00000148339'}	{'Q96PZ1', 'Q6KCM6', 'Q705K2', 'Q5SYW7', 'Q5SYX3', 'Q6KCM7', 'Q5SYW8', 'Q5VWU4', 'Q9BSA6', 'Q5VWU3', 'Q5VWU2', 'Q6UX48', 'Q6KCM4'}
9606.ENSP00000362166	MEAF6	{'MEAF6'}	{'ENSG00000163875'}	{'Q9HAF1', 'B1AK64', 'Q4F967', 'Q86WE3', 'Q7Z311'}
9606.ENSP00000362170	NAIF1	{'NAIF1'}	{'ENSG00000171169'}	{'Q8WU12', 'B3KV81', 'Q69YI7'}
9606.ENSP00000362171	NAP1L3	{'NAP1L3'}	{'ENSG00000186310'}	{'Q99457', 'O60788', 'B2RCM0'}
9606.ENSP00000362179	ZC3H12A	{'ZC3H12A'}	{'ENSG00000163874'}	{'Q6I9Z1', 'Q5D1E8', 'Q9H5P1', 'D3DPT0'}
9606.ENSP00000362181	NCR2	{'NCR2'}	{'ENSG00000096264'}	{'Q9UMT1', 'Q9H563', 'Q9UMT2', 'O95944', 'Q9H564', 'Q9H562'}
9606.ENSP00000362183	GRIK3	{'GRIK3'}	{'ENSG00000163873'}	{'Q13003', 'Q16136', 'Q13004', 'A9Z1Z8', 'B1AMS6'}
9606.ENSP00000362186	PCDH11X	{'PCDH11X'}	{'ENSG00000102290'}	{'Q9BZA6', 'Q70LU1', 'Q2TJH3', 'Q9P2M0', 'Q70LT7', 'Q2TJH0', 'Q96RV4', 'Q70LU0', 'Q2TJH1', 'A6NIQ4', 'Q96RW0', 'Q9BZA7', 'Q70LS9', 'Q70LT9', 'Q70LS8', 'Q70LS7', 'Q9P2X5', 'Q9H4E0', 'Q70LR8', 'Q70LT8', 'Q5JVZ0'}
9606.ENSP00000362187	FAM102A	{'FAM102A'}	{'ENSG00000167106'}	{'Q8TEL4', 'A2A329', 'Q5T9C2'}
9606.ENSP00000362195	CSF3R	{'CSF3R'}	{'ENSG00000119535'}	{'Q99062'}
9606.ENSP00000362201	SPOCK2	{'SPOCK2'}	{'ENSG00000107742'}	{'Q92563', 'Q6UW87', 'C9J767'}
9606.ENSP00000362205	TREM2	{'TREM2'}	{'ENSG00000095970'}	{'Q9NZC2', 'Q8N5H8', 'Q8WYN6'}
9606.ENSP00000362206	KLHL4	{'KLHL4'}	{'ENSG00000102271'}	{'B2RTW2', 'Q9Y3J5', 'Q9C0H6'}
9606.ENSP00000362207	CHST3	{'CHST3'}	{'ENSG00000122863'}	{'O75099', 'Q52M30', 'Q7LGC8'}
9606.ENSP00000362208	MRPS15	{'MRPS15'}	{'ENSG00000116898'}	{'Q9H2K1', 'B2RD82', 'P82914'}
9606.ENSP00000362217	DACH2	{'DACH2'}	{'ENSG00000126733'}	{'Q96NX9', 'Q96N55', 'B4DQG3', 'Q8NAY3', 'B1AJV3', 'Q8ND17'}
9606.ENSP00000362222	STK40	{'STK40'}	{'ENSG00000196182'}	{'Q5VTK9', 'Q6ZMN1', 'Q96I44', 'Q8N2J8', 'Q9BSA3', 'Q8N3I6', 'Q5VTK8', 'Q96HN6', 'Q9H7H6', 'Q8N2I9', 'D3DPS8'}
9606.ENSP00000362235	ST6GALNAC6	{'ST6GALNAC6'}	{'ENSG00000160408'}	{'X6RH99'}
9606.ENSP00000362244	MAP7D1	{'MAP7D1'}	{'ENSG00000116871'}	{'Q9NW29', 'Q9ULN3', 'Q9HBQ2', 'Q3KQU3', 'D3DPS4', 'Q8N905', 'Q7L8J5', 'Q8TAK0'}
9606.ENSP00000362255	TSPO2	{'TSPO2'}	{'ENSG00000112212'}	{'B2RPR2', 'Q5TGU0', 'B7ZMN8', 'Q3SX82'}
9606.ENSP00000362260	ZNF711	{'ZNF711'}	{'ENSG00000147180'}	{'Q9Y462', 'B4DSV4', 'Q9Y4J6', 'Q6NX42'}
9606.ENSP00000362268	APOOL	{'APOOL'}	{'ENSG00000155008'}	{'Q3KNU7', 'Q5H9D1', 'Q6UXV4'}
9606.ENSP00000362271	AK1	{'AK1'}	{'ENSG00000106992'}	{'Q9BVK9', 'P00568', 'Q9UQC7'}
9606.ENSP00000362273	ADPRHL2	{'ADPRHL2'}	{'ENSG00000116863'}	{'Q6IAB8', 'Q9BY47', 'Q9NX46', 'Q53G94'}
9606.ENSP00000362282	MOCS1	{'MOCS1'}	{'ENSG00000124615'}	{'Q5TCF0', 'B3KPT7', 'Q9NZB7', 'Q5TCE2', 'Q5TCE1', 'O14940', 'O75710', 'Q9NZB8', 'Q5TCF1', 'B4DTP1', 'Q5J7W0', 'Q9UEM1', 'Q5TCE6', 'Q8N418', 'Q5TCE9', 'O14941'}
9606.ENSP00000362285	SLC29A3	{'SLC29A3'}	{'ENSG00000198246'}	{'Q5T465', 'Q7RTT8', 'Q0VAM9', 'B7ZA37', 'Q9BZD2', 'Q8IVZ0', 'Q9BWI2', 'B2RB50', 'Q9NUS9', 'B4E2Z9'}
9606.ENSP00000362287	AGO3	{'AGO3'}	{'ENSG00000126070'}	{'Q9H9G7', 'B1ALI0', 'Q9H1U6', 'Q5TA55'}
